d,T,N,run,y0,runtime
1, 0.100000, 10, 0, 0.302703, 30.744750
1, 0.100000, 10, 1, 0.299723, 30.754736
1, 0.100000, 10, 2, 0.298907, 30.717240
1, 0.100000, 10, 3, 0.300670, 30.800993
1, 0.100000, 10, 4, 0.303498, 30.704762
1, 0.100000, 10, 5, 0.301507, 30.870260
1, 0.100000, 10, 6, 0.305387, 30.693510
1, 0.100000, 10, 7, 0.303358, 30.898031
1, 0.100000, 10, 8, 0.300683, 30.785045
1, 0.100000, 10, 9, 0.302725, 30.612934
10, 0.100000, 10, 0, 0.301629, 30.769982
10, 0.100000, 10, 1, 0.301704, 30.859301
10, 0.100000, 10, 2, 0.302369, 31.053190
10, 0.100000, 10, 3, 0.302222, 30.747198
10, 0.100000, 10, 4, 0.302494, 30.933128
10, 0.100000, 10, 5, 0.301954, 30.734855
10, 0.100000, 10, 6, 0.301667, 30.934052
10, 0.100000, 10, 7, 0.301677, 30.904296
10, 0.100000, 10, 8, 0.300807, 31.008504
10, 0.100000, 10, 9, 0.301009, 30.643354
100, 0.100000, 10, 0, 0.301523, 34.834273
100, 0.100000, 10, 1, 0.301357, 34.851123
100, 0.100000, 10, 2, 0.301736, 34.963067
100, 0.100000, 10, 3, 0.301463, 34.846017
100, 0.100000, 10, 4, 0.301662, 34.569583
100, 0.100000, 10, 5, 0.301816, 34.914835
100, 0.100000, 10, 6, 0.301505, 34.810604
100, 0.100000, 10, 7, 0.302049, 34.911663
100, 0.100000, 10, 8, 0.301616, 34.765895
100, 0.100000, 10, 9, 0.301648, 34.800505
